"Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Genus","Species","Binomial","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","ControlYN","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","Ratio","logRR_uncorrected","logRR","VAR_uncorrected","VAR"
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Herbivore","YES","NO",NA,"NO","",10,"Added",NA,16,553.92,6,186.45,76.12,362.57,8,158.83,56.16,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",362.57,553.92,158.83,186.45,1.5277601566594,0.42380271288691,0.421250470610623,0.0428712184523564,0.0433372177358906
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Herbivore","YES","NO",NA,"NO","",20,"Added",NA,16,738.74,4,317.97,158.98,362.57,8,158.83,56.16,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",362.57,738.74,158.83,317.97,2.03750999806934,0.711728473148737,0.722892442191585,0.070303641090625,0.0716639257830645
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Herbivore","YES","NO",NA,"NO","",34,"Added",NA,16,694.13,5,270.46,120.95,362.57,8,158.83,56.16,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",362.57,694.13,158.83,270.46,1.91447168822572,0.649441703748417,0.652629619661672,0.0543515348314392,0.0551002199739425
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Herbivore","YES","NO",NA,"NO","",54,"Added",NA,16,723.18,6,224.95,91.84,362.57,8,158.83,56.16,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",362.57,723.18,158.83,224.95,1.99459414733707,0.690440594727373,0.686509692652441,0.040113898855066,0.0405316320665273
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Herbivore","YES","NO",NA,"NO","",95,"Added",NA,16,815.71,5,487.23,217.89,362.57,8,158.83,56.16,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",362.57,815.71,158.83,487.23,2.24980003861323,0.810841340539551,0.834525083558418,0.0953431890426645,0.0981766896502545
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Herbivore","YES","NO",NA,"NO","",170,"Added",NA,16,943.21,6,715.27,292.01,362.57,8,158.83,56.16,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",362.57,943.21,158.83,715.27,2.60145627051328,0.956071392271283,0.992000244054429,0.119833406571222,0.124714300294293
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Herbivore","YES","NO",NA,"NO","",272,"Added",NA,16,1208.7,5,1287.43,575.75,362.57,8,158.83,56.16,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",362.57,1208.7,158.83,1287.43,3.33370107841244,1.20408312176448,1.30554068644825,0.250890832372473,0.276921022246173
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Predator","YES","NO",NA,"NO","",10,"Added",NA,16,25.7,5,9.1,4.07,23.9,11,8.53,2.57,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",23.9,25.7,8.53,9.1,1.07531380753138,0.0726125329637092,0.0793601808530707,0.0366553499539905,0.0370367843760917
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Predator","YES","NO",NA,"NO","",20,"Added",NA,16,27.4,6,8.71,3.55,23.9,11,8.53,2.57,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",23.9,27.4,8.53,8.71,1.14644351464435,0.13666455445656,0.139295352268347,0.028421649798842,0.0286305184402905
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,NA,NA,NA,"Predator","YES","NO",NA,"NO","",34,"Added",NA,16,21.48,5,4.5,2.01,23.9,11,8.53,2.57,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 5","Average of the points per Nitrogen level in Figure 5","Treatment",23.9,21.48,8.53,4.5,0.898744769874477,-0.106756189296801,-0.108157294878944,0.020357843010982,0.0204634165508492
