"","Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Genus","Species","Binomial","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","ControlYN","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","Ratio","logRR_uncorrected","logRR","VAR_uncorrected","VAR","CEC","Ndep_1984_2015","CRU_MAT_Initial","CRU_MAT_Final","CRU_MAP_Initial","CRU_MAP_Final","CRU_MAT_mean","CRU_MAP_mean","RowID","logNadd","logNadd2","logNdep","logNdep2","Feeding_GuildUsed","Feeding_GuildCode","Habitat","Metamorphosis"
"1","Gratton_and_Denno_2003",2003,100,"100a",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Insecta","Hemiptera","Delphacidae","Prokelisia",NA,NA,"Herbivore","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,154.7,8,44.41,15.7,30.9,8,18.67,6.6,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",30.9,154.7,18.67,44.41,5.00647249190938,1.61073157367532,1.5930655703705,0.0559345542768145,0.057028810540117,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,1,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Herbivore-Fungivore",2,"Non-Forest","Incomplete-Gradual"
"2","Gratton_and_Denno_2003",2003,100,"100b",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Insecta","Hemiptera","Delphacidae","Prokelisia",NA,NA,"Herbivore","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,47.7,8,34.79,12.3,2.7,8,3.96,1.4,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",2.7,47.7,3.96,34.79,17.6666666666667,2.87167962488401,2.77048215390229,0.335382835814336,0.373744175587148,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,2,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Herbivore-Fungivore",2,"Non-Forest","Incomplete-Gradual"
"3","Gratton_and_Denno_2003",2003,100,"100c",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Arachnida","Araneae",NA,NA,NA,NA,"Predator","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,48.4,8,25.17,8.9,12.8,20,18.78,4.2,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",12.8,48.4,18.78,25.17,3.78125,1.33005464279701,1.29314134985024,0.141437330122081,0.14780105090627,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,3,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Predator-Omnivore",4,"Non-Forest","Incomplete-Gradual"
"4","Gratton_and_Denno_2003",2003,101,"101a",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Insecta","Hemiptera","Delphacidae","Prokelisia",NA,NA,"Herbivore","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,848.8,20,316.18,70.7,639.3,20,331.39,74.1,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",639.3,848.8,331.39,316.18,1.32770217425309,0.283449759527092,0.280201183015285,0.0203729535661119,0.0204872711247167,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,4,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Herbivore-Fungivore",2,"Non-Forest","Incomplete-Gradual"
"5","Gratton_and_Denno_2003",2003,101,"101b",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Insecta","Hemiptera","Delphacidae","Prokelisia",NA,NA,"Herbivore","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,3000,20,871.62,194.9,1944.1,20,1191.82,266.5,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",1944.1,3000,1191.82,871.62,1.5431304974024,0.433813143623653,0.426527888982084,0.0230118584431375,0.0231973197855818,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,5,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Herbivore-Fungivore",2,"Non-Forest","Incomplete-Gradual"
"6","Gratton_and_Denno_2003",2003,101,"101c",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Insecta","Hemiptera","Miridae","Trigonotylus","uhleri","Trigonotylus_uhleri","Herbivore","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,1.1,20,3.58,0.8,0.8,20,2.68,0.6,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",0.8,1.1,2.68,3.58,1.375,0.318453731118535,0.302692884011097,1.09072830578512,1.38839876934689,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,6,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Herbivore-Fungivore",2,"Non-Forest","Incomplete-Gradual"
"7","Gratton_and_Denno_2003",2003,101,"101d",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Arachnida","Araneae","Lycosidae",NA,NA,NA,"Predator","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,0.8,20,2.68,0.6,0.3,20,1.34,0.3,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",0.3,0.8,1.34,2.68,2.66666666666667,0.980829253011726,0.762613975233948,1.55868055555556,2.21366973157793,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,7,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Predator-Omnivore",4,"Non-Forest","Incomplete-Gradual"
"8","Gratton_and_Denno_2003",2003,101,"101e",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Arachnida","Araneae",NA,NA,NA,NA,"Predator","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,195.3,20,94.81,21.2,101.1,20,86.76,19.4,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",101.1,195.3,86.76,94.81,1.93175074183976,0.658426711856208,0.645907480311834,0.0486054362147605,0.0493527894806289,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,8,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Predator-Omnivore",4,"Non-Forest","Incomplete-Gradual"
"9","Gratton_and_Denno_2003",2003,101,"101f",1998,2000,3,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Insecta","Hemiptera","Miridae","Tytthus","vagus","Tytthus_vagus","Predator","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,30.1,20,51.88,11.6,9.1,20,17.44,3.9,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",9.1,30.1,17.44,51.88,3.30769230769231,1.19625075823203,1.17869692478752,0.332183240006299,0.360077803310166,25.9508457183838,13.6671142578125,13.3666667938232,11.6083335876465,91.7583389282227,102.308334350586,12.4875001907349,97.0333366394043,9,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Predator-Omnivore",4,"Non-Forest","Incomplete-Gradual"
"10","Gratton_and_Denno_2003",2003,102,"102a",1998,2001,4,1,"North_America","USA","Tuckerton",39.52052247,-74.29924716,3000,"Arthropoda","Insecta","Hemiptera","Delphacidae","Prokelisia",NA,NA,"Herbivore","NO","NO",NA,"NO","",600,"Added","NH4NO3",1.5,717.8,20,643.09,143.8,750.7,20,887.72,198.5,"FromSE","Suction sampler","Individuals",1,1,NA,"Salt marsh, spartina meadow","Salt marsh, spartina meadow",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Table 2","Different studies are different sites (Islet vs Meadow) and different sampling dates","Treatment",750.7,717.8,887.72,643.09,0.956174237378447,-0.0448151258654499,-0.0597074104480468,0.110051490315475,0.113301103085728,25.9508457183838,13.6671142578125,13.3666667938232,12.6000003814697,91.7583389282227,72.3833312988281,12.9833335876465,82.0708351135254,10,2.77815125038364,7.7181243700082,1.13567682515971,1.28976185120484,"Herbivore-Fungivore",2,"Non-Forest","Incomplete-Gradual"
