"","Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Genus","Species","Binomial","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","ControlYN","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","Ratio","logRR_uncorrected","logRR","VAR_uncorrected","VAR","CEC","Ndep_1984_2015","CRU_MAT_Initial","CRU_MAT_Final","CRU_MAP_Initial","CRU_MAP_Final","CRU_MAT_mean","CRU_MAP_mean","RowID","logNadd","logNadd2","logNdep","logNdep2","Feeding_GuildUsed","Feeding_GuildCode","Habitat"
"1","Cheng_et_al_2018",2018,110,"110a",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Bacterivore","YES","YES","0-10","NO","",100,"Added","NH4NO3",200,259.26,12,307.92,88.89,281.48,12,162.51,46.91,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.67",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",281.48,259.26,162.51,307.92,0.921060110842689,-0.0822299779264515,-0.0373433107727434,0.145327143843034,0.152621951415596,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,1,2,4,1.00371988629271,1.00745361013946,"Bacterivore",1,"Forest"
"2","Cheng_et_al_2018",2018,110,"110a",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Bacterivore","YES","YES","0-10","NO","",100,"Added","Urea and glycine 1:1",200,244.44,12,136.85,39.51,281.48,12,162.51,46.91,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.44",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",281.48,244.44,162.51,136.85,0.868409833735967,-0.141091517071634,-0.141920251082183,0.0538963415145191,0.0546232322217418,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,2,2,4,1.00371988629271,1.00745361013946,"Bacterivore",1,"Forest"
"3","Cheng_et_al_2018",2018,110,"110a",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Bacterivore","YES","YES","0-10","NO","",100,"Added","Inorganic and organic N 7:3",200,93.83,12,34.21,9.88,281.48,12,162.51,46.91,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.17",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",281.48,93.83,162.51,34.21,0.333345175500924,-1.09857676279639,-1.10692646886645,0.0388543973954887,0.0393015310361869,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,3,2,4,1.00371988629271,1.00745361013946,"Bacterivore",1,"Forest"
"4","Cheng_et_al_2018",2018,110,"110b",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Plant-parasite","YES","YES","0-10","NO","",100,"Added","NH4NO3",200,814.81,12,34.21,9.88,1133.33,12,316.47,91.36,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.67",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",1133.33,814.81,316.47,34.21,0.718952114565043,-0.329960523527591,-0.333136010596973,0.00664476764835893,0.00666588960076191,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,4,2,4,1.00371988629271,1.00745361013946,"Parasite",4,"Forest"
"5","Cheng_et_al_2018",2018,110,"110b",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Plant-parasite","YES","YES","0-10","NO","",100,"Added","Urea and glycine 1:1",200,1004.94,12,470.43,135.8,1133.33,12,316.47,91.36,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.44",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",1133.33,1004.94,316.47,470.43,0.886714372689332,-0.120232363536913,-0.114350715925902,0.0247590370091461,0.0249468832661713,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,5,2,4,1.00371988629271,1.00745361013946,"Parasite",4,"Forest"
"6","Cheng_et_al_2018",2018,110,"110b",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Plant-parasite","YES","YES","0-10","NO","",100,"Added","Inorganic and organic N 7:3",200,970.37,12,436.22,125.93,1133.33,12,316.47,91.36,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.17",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",1133.33,970.37,316.47,436.22,0.856211341798064,-0.15523803868995,-0.150066720331064,0.0233383785048958,0.0235012910162742,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,6,2,4,1.00371988629271,1.00745361013946,"Parasite",4,"Forest"
"7","Cheng_et_al_2018",2018,110,"110c",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Predator/Omnivore","YES","YES","0-10","NO","",100,"Added","NH4NO3",200,66.67,12,42.77,12.35,118.52,12,76.98,22.22,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.67",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",118.52,66.67,76.98,42.77,0.562521093486332,-0.575326646075396,-0.57575659661655,0.0694507755733825,0.0706568129877864,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,7,2,4,1.00371988629271,1.00745361013946,"Predator-Omnivore",5,"Forest"
"8","Cheng_et_al_2018",2018,110,"110c",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Predator/Omnivore","YES","YES","0-10","NO","",100,"Added","Urea and glycine 1:1",200,158.02,12,34.21,9.88,118.52,12,76.98,22.22,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.44",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",118.52,158.02,76.98,34.21,1.33327708403645,0.287639884589223,0.272015073994414,0.039061055466074,0.0396866316857286,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,8,2,4,1.00371988629271,1.00745361013946,"Predator-Omnivore",5,"Forest"
"9","Cheng_et_al_2018",2018,110,"110c",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Predator/Omnivore","YES","YES","0-10","NO","",100,"Added","Inorganic and organic N 7:3",200,98.77,12,17.11,4.94,118.52,12,76.98,22.22,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.17",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",118.52,98.77,76.98,17.11,0.833361457981775,-0.182287807785329,-0.198615106590286,0.0376560790457769,0.0382771548043187,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,9,2,4,1.00371988629271,1.00745361013946,"Predator-Omnivore",5,"Forest"
"10","Cheng_et_al_2018",2018,110,"110d",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Fungivore","YES","YES","0-10","NO","",100,"Added","NH4NO3",200,113.58,12,25.66,7.41,56.79,12,59.87,17.28,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.67",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",56.79,113.58,59.87,25.66,2,0.693147180559945,0.648965040826843,0.0968709247762473,0.101168980264394,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,10,2,4,1.00371988629271,1.00745361013946,"Fungivore",2,"Forest"
