Source,Source_Year,Study,Control_ID,Study_Year_Initial,Study_Year_Final,Duration_Years,Collection_Periods,Continent,Country,Site_Name,Latitude,Longitude,Location_Uncertainty,Phylum,Class,Order,Family,Genus,Species,Binomial,Feeding_Guild,Aggregated_Study,Soil_Fauna,Soil_Depth,Pest,Nitrogen_Deposited,Nitrogen_Added,N_Added_Deposited,Fertilizer_Type,Plot_Size,Treatment_Mean,Treatment_N,Treatment_SD,Treatment_SE,Control_Mean,Control_N,Control_SD,Control_SE,SD_Estimated,Sampling_Method,Unit_Measurement,Treatment_ScalingConstant,Control_ScalingConstant,Biome,Vegetation_Type,Land_Use_Described,MAT,MAP,pH,P,K,Checked,Finished,Reviewer,Study_Quality_1,Study_Quality_2,Study_Quality_3,Study_Quality_Total,Data_Retrieved_From,Notes
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Herbivore,YES,NO,NA,NO,,0.00,Added,NA,16,362.57,8.00,158.83,56.16,362.57,8.00,158.83,56.16,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Herbivore,YES,NO,NA,NO,,10.00,Added,NA,16,553.92,6.00,186.45,76.12,362.57,8.00,158.83,56.16,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Herbivore,YES,NO,NA,NO,,20.00,Added,NA,16,738.74,4.00,317.97,158.98,362.57,8.00,158.83,56.16,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Herbivore,YES,NO,NA,NO,,34.00,Added,NA,16,694.13,5.00,270.46,120.95,362.57,8.00,158.83,56.16,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Herbivore,YES,NO,NA,NO,,54.00,Added,NA,16,723.18,6.00,224.95,91.84,362.57,8.00,158.83,56.16,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Herbivore,YES,NO,NA,NO,,95.00,Added,NA,16,815.71,5.00,487.23,217.89,362.57,8.00,158.83,56.16,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Herbivore,YES,NO,NA,NO,,170.00,Added,NA,16,943.21,6.00,715.27,292.01,362.57,8.00,158.83,56.16,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Herbivore,YES,NO,NA,NO,,272.00,Added,NA,16,1208.70,5.00,1287.43,575.75,362.57,8.00,158.83,56.16,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Predator,YES,NO,NA,NO,,0.00,Added,NA,16,23.90,11.00,8.53,2.57,23.90,11.00,8.53,2.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Predator,YES,NO,NA,NO,,10.00,Added,NA,16,25.70,5.00,9.10,4.07,23.90,11.00,8.53,2.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Predator,YES,NO,NA,NO,,20.00,Added,NA,16,27.40,6.00,8.71,3.55,23.90,11.00,8.53,2.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Predator,YES,NO,NA,NO,,34.00,Added,NA,16,21.48,5.00,4.50,2.01,23.90,11.00,8.53,2.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Predator,YES,NO,NA,NO,,54.00,Added,NA,16,25.47,5.00,6.82,3.05,23.90,11.00,8.53,2.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Predator,YES,NO,NA,NO,,95.00,Added,NA,16,21.42,6.00,5.62,2.29,23.90,11.00,8.53,2.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Predator,YES,NO,NA,NO,,170.00,Added,NA,16,28.58,6.00,9.69,3.95,23.90,11.00,8.53,2.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Predator,YES,NO,NA,NO,,272.00,Added,NA,16,27.08,6.00,7.63,3.12,23.90,11.00,8.53,2.57,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Parasitoid,YES,NO,NA,NO,,0.00,Added,NA,16,63.20,11.00,29.17,8.80,63.20,11.00,29.17,8.80,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Parasitoid,YES,NO,NA,NO,,10.00,Added,NA,16,39.48,6.00,17.99,7.34,63.20,11.00,29.17,8.80,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Parasitoid,YES,NO,NA,NO,,20.00,Added,NA,16,32.17,4.00,20.99,10.49,63.20,11.00,29.17,8.80,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Parasitoid,YES,NO,NA,NO,,34.00,Added,NA,16,29.35,6.00,9.64,3.94,63.20,11.00,29.17,8.80,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Parasitoid,YES,NO,NA,NO,,54.00,Added,NA,16,25.71,5.00,8.52,3.81,63.20,11.00,29.17,8.80,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Parasitoid,YES,NO,NA,NO,,95.00,Added,NA,16,18.02,5.00,4.37,1.96,63.20,11.00,29.17,8.80,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Parasitoid,YES,NO,NA,NO,,170.00,Added,NA,16,15.70,5.00,8.99,4.02,63.20,11.00,29.17,8.80,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,NA,NA,NA,Parasitoid,YES,NO,NA,NO,,272.00,Added,NA,16,13.43,5.00,7.17,3.21,63.20,11.00,29.17,8.80,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by mainly C3 grasses",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 5,Average of the points per Nitrogen level in Figure 5
