"Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","X","ControlYN","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","Ratio","logRR_uncorrected","logRR","VAR_uncorrected","VAR","CEC","Ndep_1984_2015","CRU_MAT_Initial","CRU_MAT_Final","CRU_MAP_Initial","CRU_MAP_Final","CRU_MAT_mean","CRU_MAP_mean"
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Herbivore","YES","NO",NA,"NO","",10,"Added",NA,16,54.26,6,6.48,2.64,52.11,10,5.44,1.72,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",52.11,54.26,5.44,6.48,1.04125887545577,0.0404304383096624,0.041074054574946,0.00346687694410713,0.00347029599494047,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Herbivore","YES","NO",NA,"NO","",20,"Added",NA,16,51.23,5,4.81,2.15,52.11,10,5.44,1.72,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",52.11,51.23,5.44,4.81,0.983112646325082,-0.0170315709700123,-0.0166949432552799,0.00285289984300481,0.00285504792060169,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Herbivore","YES","NO",NA,"NO","",34,"Added",NA,16,49.05,6,5.56,2.27,52.11,10,5.44,1.72,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",52.11,49.05,5.44,5.56,0.941278065630397,-0.0605166829097512,-0.0599908385135541,0.00323133320593412,0.00323422009683508,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Herbivore","YES","NO",NA,"NO","",54,"Added",NA,16,49.47,6,5.04,2.06,52.11,10,5.44,1.72,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",52.11,49.47,5.44,5.04,0.949337938975245,-0.0519904436815061,-0.0516703948205485,0.00281974213545485,0.00282183230315586,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Herbivore","YES","NO",NA,"NO","",95,"Added",NA,16,40.5,5,4.06,1.82,52.11,10,5.44,1.72,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",52.11,40.5,5.44,4.06,0.77720207253886,-0.25205489480863,-0.251594861543778,0.00309971094324301,0.0031023246258307,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Herbivore","YES","NO",NA,"NO","",170,"Added",NA,16,44.89,5,7.52,3.36,52.11,10,5.44,1.72,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",52.11,44.89,5.44,7.52,0.861446939167146,-0.149141816127283,-0.1468804118897,0.00670245288870567,0.00671879755651276,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1a",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Herbivore","YES","NO",NA,"NO","",272,"Added",NA,16,42.26,6,6.76,2.76,52.11,10,5.44,1.72,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",52.11,42.26,5.44,6.76,0.810976779888697,-0.209515856733213,-0.207928444006779,0.00535446986640621,0.00536415733245781,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Predator","YES","NO",NA,"NO","",10,"Added",NA,16,14.03,6,3.9,1.59,13.89,7,2.8,1.06,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",13.89,14.03,2.8,3.9,1.01007919366451,0.0100287373481172,0.0135653723290312,0.0186835722391577,0.0187833489940499,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Predator","YES","NO",NA,"NO","",20,"Added",NA,16,14.54,6,4.04,1.65,13.89,7,2.8,1.06,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",13.89,14.54,2.8,4.04,1.0467962562995,0.0457343153391208,0.0492653192580157,0.0186723101151196,0.0187719418950537,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
"Haddad_et_al_2000",2000,1,"1b",1995,1996,2,3,"North_America","USA","Cedar_Creek-Minnesota",45.403004,-93.18927086,200,"Arthropoda","Insecta",NA,NA,"Predator","YES","NO",NA,"NO","",34,"Added",NA,16,14.43,5,3.36,1.5,13.89,7,2.8,1.06,"FromSource","Sweepnet","Individuals",NA,NA,NA,"Grassland","Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,"Y","Y","Juan",1,1,1,3,"Figure 3","Average of the points per Nitrogen level in Figure 3",NA,"Treatment",13.89,14.43,2.8,3.36,1.03887688984881,0.0381402160195271,0.0406594704042492,0.0166488110467738,0.0167244534167466,20.3784790039062,7.01535654067993,6.94999980926514,5.36666679382324,62.408332824707,58.8833351135254,6.15833330154419,60.6458339691162
