"Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","yi","vi","ControlYN"
"Chen_et_al_2019",2019,7,"7a",1999,2014,16,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,17.5,"Added","NH4NO3",0.25,10.4,5,1.67,0.75,10.8,5,1.64,0.73,"FromSource","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",6.48,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Calculated abundances per with-plant site, and feeding guild","",10.8,10.4,1.64,1.67,-0.0377403279828471,0.00976878662713777,"Treatment"
"Chen_et_al_2019",2019,7,"7a",1999,2014,16,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,52.5,"Added","NH4NO3",0.25,10.2,5,2.17,0.97,10.8,5,1.64,0.73,"FromSource","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",6.3,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Calculated abundances per with-plant site, and feeding guild","",10.8,10.2,1.64,2.17,-0.0571584138399488,0.0136638923301104,"Treatment"
"Chen_et_al_2019",2019,7,"7a",1999,2014,16,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,105,"Added","NH4NO3",0.25,9.2,5,1.92,0.86,10.8,5,1.64,0.73,"FromSource","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",5.77,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Calculated abundances per with-plant site, and feeding guild","",10.8,9.2,1.64,1.92,-0.16034265007518,0.0133225720294263,"Treatment"
"Chen_et_al_2019",2019,7,"7a",1999,2014,16,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,175,"Added","NH4NO3",0.25,9,5,1.58,0.71,10.8,5,1.64,0.73,"FromSource","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",5.56,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Calculated abundances per with-plant site, and feeding guild","",10.8,9,1.64,1.58,-0.182321556793955,0.0107757475994513,"Treatment"
"Chen_et_al_2019",2019,7,"7a",1999,2014,16,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","NO","YES","0-15","NO",NA,280,"Added","NH4NO3",0.25,7.6,5,1.82,0.81,10.8,5,1.64,0.73,"FromSource","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",4.97,NA,NA,"Y","Y","Juan",1,1,1,3,"Supplementary material with raw data. Calculated abundances per with-plant site, and feeding guild","",10.8,7.6,1.64,1.82,-0.351397886837889,0.0160813260680399,"Treatment"
"Chen_et_al_2015",2015,9,"9a",1999,2010,12,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","YES","YES","0-15","NO",NA,17.5,"Added","NH4NO3",0.25,18.17,5,2.03,0.91,17.76,5,1.27,0.57,"FromSE","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",NA,4.97,NA,"Y","Y","Juan",1,1,1,3,"Figure 1","",17.76,18.17,1.27,2.03,0.0228231448440558,0.0035190964245417,"Treatment"
"Chen_et_al_2015",2015,9,"9a",1999,2010,12,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","YES","YES","0-15","NO",NA,52.5,"Added","NH4NO3",0.25,17.49,5,0.76,0.34,17.76,5,1.27,0.57,"FromSE","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",NA,4.97,NA,"Y","Y","Juan",1,1,1,3,"Figure 1","",17.76,17.49,1.27,0.76,-0.0153194485335135,0.00140034730199091,"Treatment"
"Chen_et_al_2015",2015,9,"9a",1999,2010,12,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","YES","YES","0-15","NO",NA,105,"Added","NH4NO3",0.25,17.16,5,0.85,0.38,17.76,5,1.27,0.57,"FromSE","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",NA,4.97,NA,"Y","Y","Juan",1,1,1,3,"Figure 1","",17.76,17.16,1.27,0.85,-0.0343676435042079,0.00151342713314103,"Treatment"
"Chen_et_al_2015",2015,9,"9a",1999,2010,12,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","YES","YES","0-15","NO",NA,175,"Added","NH4NO3",0.25,16.03,5,0.89,0.4,17.76,5,1.27,0.57,"FromSE","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",NA,4.97,NA,"Y","Y","Juan",1,1,1,3,"Figure 1","",17.76,16.03,1.27,0.89,-0.102486770942562,0.00163922170384564,"Treatment"
"Chen_et_al_2015",2015,9,"9a",1999,2010,12,1,"Asia","China","Inner_Mongolia_Grassland_Ecosystem_Research_Station","43.633333",116.7,500,"Nematoda",NA,NA,NA,"Unknown","YES","YES","0-15","NO",NA,280,"Added","NH4NO3",0.25,13.44,5,2.03,0.91,17.76,5,1.27,0.57,"FromSE","Baermann funnel","Individuals/gr",NA,NA,NA,"Grassland steppe","Experimental grassland in Inner Mongolia","0.9","334",NA,4.97,NA,"Y","Y","Juan",1,1,1,3,"Figure 1","",17.76,13.44,1.27,2.03,-0.278713402469021,0.00558542468777899,"Treatment"
