Source,Source_Year,Study,Control_ID,Study_Year_Initial,Study_Year_Final,Duration_Years,Collection_Periods,Continent,Country,Site_Name,Latitude,Longitude,Location_Uncertainty,Phylum,Class,Order,Family,Feeding_Guild,Aggregated_Study,Soil_Fauna,Soil_Depth,Pest,Nitrogen_Deposited,Nitrogen_Added,N_Added_Deposited,Fertilizer_Type,Plot_Size,Treatment_Mean,Treatment_N,Treatment_SD,Treatment_SE,Control_Mean,Control_N,Control_SD,Control_SE,SD_Estimated,Sampling_Method,Unit_Measurement,Treatment_ScalingConstant,Control_ScalingConstant,Biome,Vegetation_Type,Land_Use_Described,MAT,MAP,pH,P,K,Checked,Finished,Reviewer,Study_Quality_1,Study_Quality_2,Study_Quality_3,Study_Quality_Total,Data_Retrieved_From,Notes,
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Herbivore,YES,NO,NA,NO,,0.00,Added,NA,16.00,52.11,10.00,5.44,1.72,52.11,10.00,5.44,1.72,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Herbivore,YES,NO,NA,NO,,10.00,Added,NA,16.00,54.26,6.00,6.48,2.64,52.11,10.00,5.44,1.72,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Herbivore,YES,NO,NA,NO,,20.00,Added,NA,16.00,51.23,5.00,4.81,2.15,52.11,10.00,5.44,1.72,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Herbivore,YES,NO,NA,NO,,34.00,Added,NA,16.00,49.05,6.00,5.56,2.27,52.11,10.00,5.44,1.72,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Herbivore,YES,NO,NA,NO,,54.00,Added,NA,16.00,49.47,6.00,5.04,2.06,52.11,10.00,5.44,1.72,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Herbivore,YES,NO,NA,NO,,95.00,Added,NA,16.00,40.50,5.00,4.06,1.82,52.11,10.00,5.44,1.72,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Herbivore,YES,NO,NA,NO,,170.00,Added,NA,16.00,44.89,5.00,7.52,3.36,52.11,10.00,5.44,1.72,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1a,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Herbivore,YES,NO,NA,NO,,272.00,Added,NA,16.00,42.26,6.00,6.76,2.76,52.11,10.00,5.44,1.72,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Predator,YES,NO,NA,NO,,0.00,Added,NA,16.00,13.89,7.00,2.80,1.06,13.89,7.00,2.80,1.06,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Predator,YES,NO,NA,NO,,10.00,Added,NA,16.00,14.03,6.00,3.90,1.59,13.89,7.00,2.80,1.06,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Predator,YES,NO,NA,NO,,20.00,Added,NA,16.00,14.54,6.00,4.04,1.65,13.89,7.00,2.80,1.06,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Predator,YES,NO,NA,NO,,34.00,Added,NA,16.00,14.43,5.00,3.36,1.50,13.89,7.00,2.80,1.06,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Predator,YES,NO,NA,NO,,54.00,Added,NA,16.00,13.25,5.00,1.92,0.86,13.89,7.00,2.80,1.06,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Predator,YES,NO,NA,NO,,95.00,Added,NA,16.00,12.83,5.00,1.93,0.86,13.89,7.00,2.80,1.06,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Predator,YES,NO,NA,NO,,170.00,Added,NA,16.00,12.79,4.00,3.50,1.75,13.89,7.00,2.80,1.06,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1b,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Predator,YES,NO,NA,NO,,272.00,Added,NA,16.00,11.23,5.00,3.11,1.39,13.89,7.00,2.80,1.06,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Parasitoid,YES,NO,NA,NO,,0.00,Added,NA,16.00,10.89,8.00,3.84,1.36,10.89,8.00,3.84,1.36,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Parasitoid,YES,NO,NA,NO,,10.00,Added,NA,16.00,11.62,5.00,2.41,1.08,10.89,8.00,3.84,1.36,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Parasitoid,YES,NO,NA,NO,,20.00,Added,NA,16.00,13.22,5.00,6.39,2.86,10.89,8.00,3.84,1.36,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Parasitoid,YES,NO,NA,NO,,34.00,Added,NA,16.00,13.02,6.00,3.16,1.29,10.89,8.00,3.84,1.36,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Parasitoid,YES,NO,NA,NO,,54.00,Added,NA,16.00,13.19,6.00,3.49,1.43,10.89,8.00,3.84,1.36,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Parasitoid,YES,NO,NA,NO,,95.00,Added,NA,16.00,11.77,4.00,2.22,1.11,10.89,8.00,3.84,1.36,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
Haddad_et_al_2000,2000,1,1c,1995,1996,2,3,North_America,USA,Cedar_Creek-Minnesota,45.403004,-93.18927086,200,Arthropoda,Insecta,NA,NA,Parasitoid,YES,NO,NA,NO,,170.00,Added,NA,16.00,10.87,6.00,4.71,1.92,10.89,8.00,3.84,1.36,FromSource,Sweepnet,Individuals,,,NA,Grassland,"Experimental fields, vegetation composed by perennial bunch grasses and forbs",NA,NA,NA,NA,NA,Y,Y,Juan,1,1,1,3,Figure 3,Average of the points per Nitrogen level in Figure 3,
